           CODIGOS PARA VALIDACION DE PRACTICAS DE SWISS MEDICAL,
80601,Anoplastia -estenosis- con o sin esfinterotomia o  esfinterectomia.  - SMG
80603,Esfinteroplastia tipo pickrel o similar. incluye eventual colostomia.   - SMG
80604,Esfinteroplastia tipo plicatura o similar. esfinterorrafia -esfinter externo-.   - SMG
80606,Hemorroidectomia -con o sin fisura anal-.   - SMG
80607,"Trombectomia, infartectomia -trombosis hemorrodaria-.   - SMG"
80608,Tratamiento quirurgico del prolapso mucoso -op. de witehead o buied-. plastica d   - SMG
80609,Tratamiento de las hemorroides con ligadura elastica.   - SMG
80611,Fistulectomia o fistulotomia -fistula del canal anal o fistulete-.  - SMG
80612,"Fisurectomia, criptectomia o papilectomia con o sin esfinterotomia o esfinterect   - SMG"
80613,Esfinterotomia o esfinterectomia -como unica operacion-.  - SMG
80614,"Escision de lesion de piel perianal -cuerpos cutananeos, papilomas, plicomas-. B  - SMG"
80615,Fulguracion radical de condilomas acuminados voluminosos.   - SMG
80616,Incision y drenaje de absceso perianal.  - SMG
80701,Lobectomia hepatica.  - SMG
80702,Segmentectomia hepatica.  - SMG
80703,"Hepatectomia parcial. escision radical de lesion de higado -quiste hidatidico, a  - SMG"
80704,"Hepatostomia -marsupializacion de quistes: hidatidicos abscesos, etc.-.  - SMG"
80705,"Sutura de higado -por traumatismo, herida, desgarro, etc.-.  - SMG"
80706,Biopsia de higado por laparatomia.  - SMG
80708,Colecistostomia.   - SMG
80709,Colecistectomia -con o sin coledocotomia-.   - SMG
80710,"Seccion de ampolla de vater, transduodenal. papilotomia: con o sin colecistectom   - SMG"
80711,Coledocotomia -como unico tratamiento-.  - SMG
80712,"Anastomosis biliodigestivas simples -colecistoyeyunostomia, coledocoduodenostomi  - SMG"
80713,"Anastomosis biliodigestivas complejas -hepatoyeyunostomia, derivacion al conduct  - SMG"
80714,Operaciones reparadoras de la via biliar por lesion quirurgica. reoperacion sobr   - SMG
80715,Extraccion instrumental completa de calculos coledocianos -percutaneas-.  - SMG
80801,Duodenopancreatectomia.  - SMG
80802,"Anastomosis pancreaticodigestivas -pancreaticogastrotomia, pancreaticoyeyunostom   - SMG"
80803,Escision local de lesion de pancreas -adenoma-secuestrectomia-. drenaje de seudo  - SMG
80804,Escision corporocaudal. esplenopancreatectomia corporocaudal.  - SMG
80805,Sutura de pancreas -herida - traumatismo-. biopsia de pancreas.  - SMG
80901,Esplenectomia -como unica intervencion-.  - SMG
80902,"Puncion esplenica percutanea, espleno-portografia.  - SMG"
90101,"Linfadenectomia cervical, axilar o inguinal radical, unilateral -como unica oper  - SMG"
90102,"Linfadenectomia cervical, axilar o inguinal radical, bilateral -como unica opera  - SMG"
90103,"Escision de lesion de conductos linfaticos -linfangioma, higroma-.  - SMG"
90104,Drenaje de seno linfatico - derivacion.  - SMG
90105,Linfadenectomia - biopsia de ganglio linfatico.  - SMG
90106,Linfadenectomia.  - SMG
90107,Biopsia de ganglio linfatico por puncion.  - SMG
90108,Diseccion quirurgica para linfoadenografia -linfoclisis-.  - SMG
100101,"Nefrectomia total, cualquiera fuera la via utilizada.  - SMG"
100102,Nefrectomia parcial.  - SMG
100103,Nefroureterectomia total con cistectomia parcial.  - SMG
100104,"Nefrotomia, nefrostomia, nefropexia.  - SMG"
100107,"Lumbotomias -exploradora, drenaje perirrenal, biopsia a cielo abierto, fistula l - SMG"
100110,Plastia de la union ureteropielica. pieloplastia. plastias del ureter. plastia d  - SMG
100113,Ureterectomia parcial.   - SMG
100203,Cistectomia parcial -diverticulectomia-reseccion del cuello vesical-denervacion  - SMG
100206,Tratamiento quirurgico de la fistula vesicointestinal con o sin reseccion enteri  - SMG
100207,Tratamiento quirurgico de la fistula vesicocutanea.   - SMG
100208,Cistotomia a cielo abierto -cuerpo extraño - litiasis - drenaje-. sutura vesical  - SMG
100209,Cistotomia por puncion con trocar. puncion evacuadora vesical.  - SMG
100211,Tratamiento de la incontinencia de orina en la mujer por via vaginal.  - SMG
100212,Tratamiento de la incontinencia de orina -via abdominal- en la mujer -marshall -  - SMG
100213,Tratamiento de la incontinencia de orina en la mujer por ambas vias -abdominal y   - SMG
100303,"Uretromia externa -derivativa, por extraccion de calculo o de cuerpo extraño-. U   - SMG"
100304,"Uretrorrafia por desgarro, herida, etc.   - SMG"
100305,Meatotomia.  - SMG
100501,Orquidectomia unilateral completa con vaciamiento-ganglionar intraabdominal.  - SMG
100502,Orquidectomia sub-albuginea bilateral.  - SMG
100503,Orquidectomia unilateral.  - SMG
100504,Orquidopexia unilateral -cualquiera fuera la tecnica empleada- con o sin tratami  - SMG
100505,Orquidopexia bilateral con o sin tratamiento de hernia concomitante.  -  SMG
100506,"Tratamiento quirurgico del hidrocele, varicocele, torsion, quiste de epididimo,   - SMG"
100507,Biopsia de testiculo.  - SMG
100508,Escrotoplastia.   - SMG
100509,"Drenaje de absceso testicular, escision de lesion local de testiculo.  - SMG"
100510,Puncion de derrame escrotal.   - SMG
100606,Biopsia de epididimo   - SMG
100607,"Vasectomia, ligadura de conducto deferente, uni o bilateral como unica operación   - SMG"
100705,Biopsia de pene.  - SMG
100709,Postioplastia -fimosis- incluye frenulotomia. escision de cuerda ventral.   - SMG
100710,Circuncision.   - SMG
100711,Incision dorsal o lateral del prepucio. frenulotomia.   - SMG
110101,Reseccion cuneiforme de ovarios. extirpacion de ovario. ooforoplastia -implantac   - SMG
110102,Culdoscopia o laparascopia con luz fria -celioscopia con hidrotubacion o biopsia  - SMG
110104,Ligadura de trompas -como unica operacion-.   - SMG
110201,Histerectomia radical; colpoanexohisterectomia total ampliada.- op. de werthein   - SMG
110202,"Exenteracion pelviana.- op. de brusgwig total, anterior o posterior-.  -  SMG"
110203,"Histerectomia con o sin anexectomia, por via abdominal o vaginal con o sin colpo    -  SMG"
110204,Miomectomia uterina abdominal -como unica operacion-.  - SMG
110205,Miomectomia vaginal -mioma-nacens-.   - SMG
110206,"Miomectomia vaginal por histerotomia, con liberacion de vejiga, etc.  - SMG"
110207,Histerorrafia -fuera del parto-.  - SMG
110208,Operacion correctora de los vicios de conformacion del utero.  - SMG
110209,Correccion quirurgica de inversion uterina por via abdominal. histeropexia con o  - SMG
110303,"Colporrafia anterior y/o posterior, con o sin amputacion de cuello, con o sin co  - SMG"
110304,"Colporrafia por herida, desgarro, etc. -fuera del parto-.  - SMG"
110305,Colporrafia posterior con reconstruccion del esfinter anal. -desgarro perineal c  - SMG
110306,Colpopexia por via abdominal.  - SMG
110307,Colpopexia combinada -por via abdominal y vaginal-.   - SMG
110308,Colpocleisis completa o parcial.   - SMG
110309,Colpotomia; vaginotomia de drenaje -absceso pelviano-. escision local de lesion  -  SMG
110310,Vaginismo -operacion de pozzi-. reseccion de tabique vaginal.   - SMG
110311,"Biopsia de vagina. puncion de vagina, -diagnostica-exploradora-. puncion de fond  - SMG"
110312,Vulvectomia radical -incluye vaciamiento ganglios linfaticos inguinales-.  - SMG
110313,Vulvectomia simple.   - SMG
110314,"Escision de labios mayores, labios menores, de glandulas de bartholino, de gland   - SMG"
110315,"Himenotomia. incision y drenaje de vulva, glandula de bartholino, glandula de sk  - SMG"
110316,"Episiorrafia, perineorrafia o episioperineorrafia -fuera del parto-.   - SMG"
110317,"Perineoplastia, episioperineoplastia.   - SMG"
120901,"Sacro-iliaca, condro-costal, condro-esternal, esterno-clavicular, acromio-clavic  - SMG"
121401,"Miectomias, -miositis osificante, hipertrofias, neoplastias- con vaciamiento de  - SMG"
121402,"Incision de musculos, escision de lesion local -exploracion, extraccion de cuerp  -SMG"
121501,"Exploracion drenaje, extraccion, incision, escision, biopsia, tenotomia, fasciot  - SMG"
121509,Escision ganglion.  - SMG
121603,"Brazo, codo, antebrazo, muñeca, mano.  - SMG"
121606,Muslo o rodilla.   - SMG
121607,Pie o pierna.  - SMG
121608,Dedo de la mano.  - SMG
121609,Dedo del pie.  - SMG
121705,Operaciones en el hueco supraclavicular por sindrome del escaleno -reseccion de  - SMG
130101,Escision de quiste dermoideo sacrocoxigeo  - SMG
130102,Escision amplia de lesion de piel comprendiendo estructuras vecinas por tumor ma  - SMG
130103,Escision radical de angioma cavernoso mayor de 5 cm. de diametro -incluye repara  - SMG
130104,"Escision local de lesion de piel o glandula de piel, cicatrizal, inflamatoria, c  - SMG"
130105,"Incision y drenaje de absceso superficial, hidrosadenitis, quiste sebaseo infect  - SMG"
130106,"Destruccion de lesion de piel -verruga, queratosis senil, fibroma, nevus, etc.-   - SMG"
130107,"Destruccion de lesion de piel -verruga, queratosis senil, fibroma, nevus, etc.-  - SMG"
130108,Biopsia de piel y/o tejido celular subcutaneo y/o musculo.   - SMG
130109,Escision de uña lecho o repliegue ungueal.  - SMG
130110,Sutura de herida más de 5 cms.   - SMG
130112,Escision de tumor de tejido celular subcutaneo -lipoma -.   - SMG
130113,Escision de lipoma gigante -con reconocimiento previo de la obra social-.  - SMG
130114,Incision y drenaje de absceso profundo subaponeurotico. extraccion de cuerpo ext  - SMG
130115,Implantacion de  pellets  en tejido subcutaneo.   - SMG
130201,"Injerto libre de grasa, dermigrasa o piel total.   - SMG"
130202,"Preparacion de colgajo tubulado, en uno o dos tiempos.  - SMG"
130203,Adelgazamiento de piel y transplante de grasa.  - SMG
130204,Cierre plastico de herida por colgajo.  - SMG
130205,Transporte de tubo -por tiempo operatorio-.  - SMG
130206,Operacion relajante en z -zetaplastia-.  - SMG
130207,Tomo y colocacion de injerto de piel -con dermatomo-.  - SMG
130208,Dermabrasion -en caso debidamente autorizado por la obra social- por tratamiento   - SMG
130209,Injerto pinch -por sesion operatoria-.  - SMG
130210,Diferido del colgajo-separacion del pediculo.  - SMG
130211,Preparacion del colgajo y cierre plastico por rotacion en un tiempo -cross-leg-  - SMG
130301,"Atencion del paciente con quemaduras de segundo y tercer grado, hasta el 5% de s  - SMG"
130302,"Atencion del paciente con quemaduras de segundo y tercer grado, de mas de 5% y p  - SMG"
130303,Atencion del paciente con quemaduras de segundo y tercer grado que comprometen z  - SMG
130304,Escision de escaras postquemaduras y/o curacion del paciente quemado en quirofan   - SMG
1060201,Simpatectomía Torácica Bilateral por Video   - SMG
1060201,Simpatectomía Torácica Bilateral por Video   - SMG
5020202,Traqueostomía percutánea   - SMG
5030101,Videotoracoscopía s/material desc.   - SMG
5040101,Lobectomía inferior/Pleurectomía completa   - SMG
